timestamp,device,metric,value
1733862218,solar,power,0
1733862218,humedad suelo,temperature,16.5
1733862218,humedad suelo,humidity,35.02
1733862218,humedad suelo,ec,275
1733862218,pH,pH,8.4
1733862218,NPK,N,8
1733862218,NPK,P,10
1733862218,NPK,K,26
1733862218,suelo,humidity,50.2
1733862218,suelo,temperature,19.0
1733862218,suelo,ec,152
1733862218,suelo,pH,3.0
1733862218,suelo,N,0
1733862218,suelo,P,30
1733862218,suelo,K,22
1733862218,suelo,salinity,83
1733862218,suelo,tds,76
1733862218,temp_interior,humidity,59.1
1733862218,temp_interior,temperature,9.0
1733862218,temp_exterior,humidity,52.1
1733862218,temp_exterior,temperature,5.6
1733862218,co2,co2,576
1733862251,solar,power,0
1733862251,humedad suelo,temperature,16.5
1733862251,humedad suelo,humidity,35.02
1733862251,humedad suelo,ec,267
1733862251,pH,pH,8.5
1733862251,NPK,N,8
1733862251,NPK,P,11
1733862251,NPK,K,27
1733862251,suelo,humidity,50.2
1733862251,suelo,temperature,19.1
1733862251,suelo,ec,153
1733862251,suelo,pH,3.0
1733862251,suelo,N,0
1733862251,suelo,P,31
1733862251,suelo,K,23
1733862251,suelo,salinity,84
1733862251,suelo,tds,76
1733862251,temp_interior,humidity,59.0
1733862251,temp_interior,temperature,8.9
1733862251,temp_exterior,humidity,52.1
1733862251,temp_exterior,temperature,5.6
1733862251,co2,co2,576
1733862262,solar,power,0
1733862262,humedad suelo,temperature,16.53
1733862262,humedad suelo,humidity,35.02
1733862262,humedad suelo,ec,273
1733862262,pH,pH,5.3
1733862263,NPK,N,8
1733862263,NPK,P,11
1733862263,NPK,K,27
1733862263,suelo,humidity,50.2
1733862263,suelo,temperature,19.1
1733862263,suelo,ec,150
1733862263,suelo,pH,3.0
1733862263,suelo,N,0
1733862263,suelo,P,29
1733862263,suelo,K,21
1733862263,suelo,salinity,82
1733862263,suelo,tds,75
1733862263,temp_interior,humidity,58.8
1733862263,temp_interior,temperature,8.9
1733862263,temp_exterior,humidity,52.1
1733862263,temp_exterior,temperature,5.6
1733862263,co2,co2,576
1733862369,solar,power,0
1733862369,humedad suelo,temperature,16.56
1733862369,humedad suelo,humidity,35.02
1733862369,humedad suelo,ec,268
1733862369,pH,pH,8.8
1733862369,NPK,N,8
1733862369,NPK,P,11
1733862369,NPK,K,27
1733862369,suelo,humidity,51.7
1733862369,suelo,temperature,19.2
1733862369,suelo,ec,152
1733862369,suelo,pH,3.0
1733862369,suelo,N,0
1733862369,suelo,P,30
1733862369,suelo,K,22
1733862369,suelo,salinity,83
1733862369,suelo,tds,76
1733862369,temp_interior,humidity,58.7
1733862369,temp_interior,temperature,8.9
1733862369,temp_exterior,humidity,52.1
1733862369,temp_exterior,temperature,5.5
1733862369,co2,co2,574
1733862379,solar,power,0
1733862380,humedad suelo,temperature,16.53
1733862380,humedad suelo,humidity,35.02
1733862380,humedad suelo,ec,263
1733862380,pH,pH,8.8
1733862380,NPK,N,8
1733862380,NPK,P,11
1733862380,NPK,K,27
1733862380,suelo,humidity,50.2
1733862380,suelo,temperature,19.2
1733862380,suelo,ec,151
1733862380,suelo,pH,3.0
1733862380,suelo,N,0
1733862380,suelo,P,30
1733862380,suelo,K,22
1733862380,suelo,salinity,83
1733862380,suelo,tds,75
1733862380,temp_interior,humidity,59.1
1733862380,temp_interior,temperature,9.0
1733862380,temp_exterior,humidity,52.1
1733862380,temp_exterior,temperature,5.5
1733862380,co2,co2,575
1733862440,solar,power,0
1733862440,humedad suelo,temperature,16.56
1733862440,humedad suelo,humidity,35.02
1733862440,humedad suelo,ec,269
1733862440,pH,pH,8.8
1733862440,NPK,N,8
1733862440,NPK,P,10
1733862440,NPK,K,26
1733862440,suelo,humidity,51.2
1733862440,suelo,temperature,19.2
1733862440,suelo,ec,155
1733862440,suelo,pH,3.0
1733862440,suelo,N,0
1733862440,suelo,P,31
1733862440,suelo,K,24
1733862440,suelo,salinity,85
1733862440,suelo,tds,77
1733862440,temp_interior,temperature,59.4
1733862440,temp_interior,humidity,8.9
1733862440,temp_exterior,temperature,52.1
1733862440,temp_exterior,humidity,5.5
1733862441,co2,co2,574
1733862446,solar,power,0
1733862446,humedad suelo,temperature,16.56
1733862446,humedad suelo,humidity,35.02
1733862446,humedad suelo,ec,258
1733862446,pH,pH,9.0
1733862446,NPK,N,8
1733862446,NPK,P,10
1733862446,NPK,K,26
1733862446,suelo,humidity,50.7
1733862446,suelo,temperature,19.2
1733862446,suelo,ec,154
1733862446,suelo,pH,3.0
1733862446,suelo,N,0
1733862446,suelo,P,31
1733862446,suelo,K,23
1733862446,suelo,salinity,84
1733862446,suelo,tds,77
1733862446,temp_interior,temperature,59.4
1733862446,temp_interior,humidity,8.9
1733862446,temp_exterior,temperature,52.1
1733862446,temp_exterior,humidity,5.6
1733862446,co2,co2,575
1733862510,solar,power,0
1733862510,humedad suelo,temperature,16.56
1733862510,humedad suelo,humidity,35.02
1733862510,humedad suelo,ec,267
1733862510,pH,pH,4.6
1733862510,NPK,N,8
1733862510,NPK,P,11
1733862510,NPK,K,27
1733862510,suelo,humidity,51.0
1733862510,suelo,temperature,19.3
1733862510,suelo,ec,152
1733862510,suelo,pH,3.0
1733862510,suelo,N,0
1733862510,suelo,P,30
1733862510,suelo,K,22
1733862510,suelo,salinity,83
1733862510,suelo,tds,76
1733862510,temp_interior,temperature,59.4
1733862510,temp_interior,humidity,8.9
1733862510,temp_exterior,temperature,52.1
1733862510,temp_exterior,humidity,5.6
1733862511,co2,co2,576
1733862697,solar,power,0
1733862697,humedad suelo,temperature,16.59
1733862697,humedad suelo,humidity,34.96
1733862697,humedad suelo,ec,263
1733862697,pH,pH,5.5
1733862697,NPK,N,8
1733862697,NPK,P,10
1733862697,NPK,K,26
1733862698,suelo,humidity,50.7
1733862698,suelo,temperature,19.5
1733862698,suelo,ec,155
1733862698,suelo,pH,3.0
1733862698,suelo,N,0
1733862698,suelo,P,31
1733862698,suelo,K,24
1733862698,suelo,salinity,85
1733862698,suelo,tds,77
1733862698,temp_interior,temperature,59.7
1733862698,temp_interior,humidity,8.8
1733862698,temp_exterior,temperature,52.1
1733862698,temp_exterior,humidity,5.6
1733862698,co2,co2,576
1733862785,solar,power,0
1733862785,humedad suelo,temperature,16.62
1733862785,humedad suelo,humidity,34.96
1733862785,humedad suelo,ec,275
1733862785,pH,pH,3.0
1733862785,NPK,N,8
1733862785,NPK,P,10
1733862785,NPK,K,26
1733862785,suelo,humidity,50.0
1733862785,suelo,temperature,19.5
1733862785,suelo,ec,156
1733862785,suelo,pH,3.0
1733862785,suelo,N,0
1733862785,suelo,P,32
1733862785,suelo,K,24
1733862785,suelo,salinity,85
1733862785,suelo,tds,78
1733862785,temp_interior,temperature,59.7
1733862785,temp_interior,humidity,8.9
1733862786,temp_exterior,temperature,52.1
1733862786,temp_exterior,humidity,5.5
1733862786,co2,co2,576
1733862835,solar,power,0
1733862835,humedad suelo,temperature,16.64
1733862835,humedad suelo,humidity,34.96
1733862835,humedad suelo,ec,270
1733862835,pH,pH,3.7
1733862835,NPK,N,8
1733862835,NPK,P,11
1733862835,NPK,K,27
1733862835,suelo,humidity,50.7
1733862835,suelo,temperature,19.5
1733862835,suelo,ec,152
1733862835,suelo,pH,3.0
1733862835,suelo,N,0
1733862835,suelo,P,30
1733862835,suelo,K,22
1733862835,suelo,salinity,83
1733862835,suelo,tds,76
1733862836,temp_interior,temperature,59.8
1733862836,temp_interior,humidity,8.9
1733862836,temp_exterior,temperature,52.1
1733862836,temp_exterior,humidity,5.5
1733862836,co2,co2,576
1733862841,solar,power,0
1733862841,humedad suelo,temperature,16.67
1733862841,humedad suelo,humidity,34.96
1733862841,humedad suelo,ec,264
1733862841,pH,pH,8.6
1733862841,NPK,N,8
1733862841,NPK,P,11
1733862841,NPK,K,27
1733862841,suelo,humidity,49.5
1733862841,suelo,temperature,19.6
1733862841,suelo,ec,150
1733862841,suelo,pH,3.0
1733862841,suelo,N,0
1733862841,suelo,P,29
1733862841,suelo,K,21
1733862841,suelo,salinity,82
1733862841,suelo,tds,75
1733862841,temp_interior,temperature,59.8
1733862841,temp_interior,humidity,8.9
1733862841,temp_exterior,temperature,52.1
1733862841,temp_exterior,humidity,5.5
1733862841,co2,co2,576
1733865538,Shelly PM 0,power,898.09
1733865538,Shelly PM 0,total,898.09
1733865538,Shelly PM 0,total_returned,898.09
1733865538,solar,power,0
1733865538,humedad suelo,temperature,17.17
1733865538,humedad suelo,humidity,34.62
1733865538,humedad suelo,ec,271
1733865538,pH,pH,8.5
1733865538,NPK,N,8
1733865538,NPK,P,11
1733865538,NPK,K,27
1733865538,suelo,humidity,47.9
1733865538,suelo,temperature,21.6
1733865538,suelo,ec,153
1733865538,suelo,pH,3.0
1733865538,suelo,N,0
1733865538,suelo,P,31
1733865538,suelo,K,23
1733865538,suelo,salinity,84
1733865538,suelo,tds,76
1733865539,temp_interior,temperature,60.8
1733865539,temp_interior,humidity,8.6
1733865539,temp_exterior,temperature,52.1
1733865539,temp_exterior,humidity,5.5
1733865539,co2,co2,582
1733865545,Shelly PM 0,power,921.7
1733865545,Shelly PM 0,total,921.7
1733865545,Shelly PM 0,total_returned,921.7
1733865545,solar,power,0
1733865545,humedad suelo,temperature,17.17
1733865545,humedad suelo,humidity,34.62
1733865545,humedad suelo,ec,264
1733865545,pH,pH,4.8
1733865545,NPK,N,8
1733865545,NPK,P,11
1733865545,NPK,K,27
1733865545,suelo,humidity,48.4
1733865545,suelo,temperature,21.7
1733865545,suelo,ec,158
1733865545,suelo,pH,3.0
1733865545,suelo,N,0
1733865545,suelo,P,33
1733865545,suelo,K,25
1733865545,suelo,salinity,86
1733865545,suelo,tds,79
1733865545,temp_interior,temperature,60.8
1733865545,temp_interior,humidity,8.6
1733865545,temp_exterior,temperature,52.1
1733865545,temp_exterior,humidity,5.5
1733865545,co2,co2,583
1733865630,Shelly PM 0,power,1026.71
1733865630,Shelly PM 0,total,1026.71
1733865630,Shelly PM 0,total_returned,1026.71
1733865630,solar,power,0
1733865630,humedad suelo,temperature,17.17
1733865630,humedad suelo,humidity,34.62
1733865630,humedad suelo,ec,265
1733865630,pH,pH,8.8
1733865630,NPK,N,8
1733865630,NPK,P,11
1733865630,NPK,K,27
1733865631,suelo,humidity,47.9
1733865631,suelo,temperature,21.7
1733865631,suelo,ec,155
1733865631,suelo,pH,3.0
1733865631,suelo,N,0
1733865631,suelo,P,31
1733865631,suelo,K,24
1733865631,suelo,salinity,85
1733865631,suelo,tds,77
1733865631,temp_interior,temperature,60.4
1733865631,temp_interior,humidity,8.6
1733865631,temp_exterior,temperature,52.1
1733865631,temp_exterior,humidity,5.6
1733865631,co2,co2,585
1733865745,Shelly PM 0,power,1013.38
1733865745,Shelly PM 0,total,1013.38
1733865745,Shelly PM 0,total_returned,1013.38
1733865745,solar,power,0
1733865745,humedad suelo,temperature,17.23
1733865745,humedad suelo,humidity,34.62
1733865745,humedad suelo,ec,251
1733865745,pH,pH,9.0
1733865745,NPK,N,8
1733865745,NPK,P,11
1733865745,NPK,K,27
1733865745,suelo,humidity,48.8
1733865745,suelo,temperature,21.8
1733865745,suelo,ec,156
1733865745,suelo,pH,3.0
1733865745,suelo,N,0
1733865745,suelo,P,32
1733865745,suelo,K,24
1733865745,suelo,salinity,85
1733865745,suelo,tds,78
1733865746,temp_interior,temperature,60.7
1733865746,temp_interior,humidity,8.6
1733865746,temp_exterior,temperature,52.1
1733865746,temp_exterior,humidity,5.5
1733865746,co2,co2,581
1733865747,Shelly PM 0,power,858.7
1733865747,Shelly PM 0,total,858.7
1733865747,Shelly PM 0,total_returned,858.7
1733865747,solar,power,0
