timestamp,device,metric,value
1734390059,Shelly PM 0,power,617.92
1734390059,Shelly PM 0,total,2671372.6
1734390059,Shelly PM 0,total_returned,43536.7
1734390062,humedad suelo,temperature,17.73
1734390062,humedad suelo,humidity,31.81
1734390062,humedad suelo,ec,227
1734390062,pH,pH,8.8
1734390062,NPK,N,6
1734390062,NPK,P,7
1734390062,NPK,K,19
1734390062,suelo,humidity,40.7
1734390062,suelo,temperature,24.3
1734390062,suelo,ec,149
1734390062,suelo,pH,3.0
1734390062,suelo,N,0
1734390062,suelo,P,29
1734390062,suelo,K,21
1734390062,suelo,salinity,81
1734390062,suelo,tds,74
1734390062,temp_interior,humidity,68.1
1734390062,temp_interior,temperature,6.0
1734390062,temp_exterior,humidity,52.1
1734390062,temp_exterior,temperature,4.1
1734390062,co2,co2,575
1734390063,presion caldera,presion,0.0
1734390123,Shelly PM 0,power,591.87
1734390123,Shelly PM 0,total,2671394.2
1734390123,Shelly PM 0,total_returned,43536.7
1734390126,solar,power,0
1734390126,humedad suelo,temperature,17.73
1734390126,humedad suelo,humidity,31.81
1734390126,humedad suelo,ec,228
1734390126,pH,pH,8.8
1734390126,NPK,N,6
1734390126,NPK,P,8
1734390126,NPK,K,20
1734390126,suelo,humidity,40.9
1734390126,suelo,temperature,24.3
1734390126,suelo,ec,149
1734390126,suelo,pH,3.0
1734390126,suelo,N,0
1734390126,suelo,P,29
1734390126,suelo,K,21
1734390126,suelo,salinity,81
1734390126,suelo,tds,74
1734390126,temp_interior,humidity,67.9
1734390126,temp_interior,temperature,6.1
1734390126,temp_exterior,humidity,52.1
1734390126,temp_exterior,temperature,4.2
1734390126,co2,co2,572
1734390126,presion caldera,presion,0.0
1734390187,Shelly PM 0,power,872.94
1734390187,Shelly PM 0,total,2671404.3
1734390187,Shelly PM 0,total_returned,43536.7
1734390187,solar,power,0
1734390187,humedad suelo,temperature,17.76
1734390187,humedad suelo,humidity,31.7
1734390187,humedad suelo,ec,231
1734390187,pH,pH,4.3
1734390187,NPK,N,6
1734390187,NPK,P,8
1734390187,NPK,K,20
1734390187,suelo,humidity,41.0
1734390187,suelo,temperature,24.3
1734390187,suelo,ec,153
1734390187,suelo,pH,3.0
1734390187,suelo,N,0
1734390187,suelo,P,31
1734390187,suelo,K,23
1734390187,suelo,salinity,84
1734390187,suelo,tds,76
1734390187,temp_interior,humidity,67.7
1734390187,temp_interior,temperature,6.0
1734390187,temp_exterior,humidity,52.1
1734390187,temp_exterior,temperature,4.1
1734390187,co2,co2,573
1734390187,presion caldera,presion,0.0
1734390247,Shelly PM 0,power,866.59
1734390247,Shelly PM 0,total,2671418.4
1734390247,Shelly PM 0,total_returned,43536.7
1734390247,solar,power,0
1734390247,humedad suelo,temperature,17.76
1734390247,humedad suelo,humidity,31.81
1734390247,humedad suelo,ec,229
1734390247,pH,pH,3.9
1734390248,NPK,N,6
1734390248,NPK,P,8
1734390248,NPK,K,20
1734390248,suelo,humidity,40.4
1734390248,suelo,temperature,24.3
1734390248,suelo,ec,150
1734390248,suelo,pH,3.0
1734390248,suelo,N,0
1734390248,suelo,P,29
1734390248,suelo,K,21
1734390248,suelo,salinity,82
1734390248,suelo,tds,75
1734390248,temp_interior,humidity,68.3
1734390248,temp_interior,temperature,6.0
1734390248,temp_exterior,humidity,52.1
1734390248,temp_exterior,temperature,4.1
1734390248,co2,co2,575
1734390248,presion caldera,presion,0.0
1734390308,Shelly PM 0,power,845.57
1734390308,Shelly PM 0,total,2671433.0
1734390308,Shelly PM 0,total_returned,43536.7
1734390308,solar,power,0
1734390308,humedad suelo,temperature,17.78
1734390308,humedad suelo,humidity,31.75
1734390308,humedad suelo,ec,231
1734390308,pH,pH,8.8
1734390308,NPK,N,6
1734390308,NPK,P,7
1734390308,NPK,K,19
1734390308,suelo,humidity,40.4
1734390308,suelo,temperature,24.3
1734390308,suelo,ec,151
1734390308,suelo,pH,3.0
1734390308,suelo,N,0
1734390308,suelo,P,30
1734390308,suelo,K,22
1734390308,suelo,salinity,83
1734390308,suelo,tds,75
1734390308,temp_interior,humidity,68.3
1734390308,temp_interior,temperature,6.0
1734390308,temp_exterior,humidity,52.1
1734390308,temp_exterior,temperature,4.2
1734390308,co2,co2,578
1734390309,presion caldera,presion,0.0
1734390369,Shelly PM 0,power,872.58
1734390369,Shelly PM 0,total,2671447.4
1734390369,Shelly PM 0,total_returned,43536.7
1734390369,solar,power,0
1734390369,humedad suelo,temperature,17.78
1734390369,humedad suelo,humidity,31.75
1734390369,humedad suelo,ec,227
1734390369,pH,pH,8.8
1734390369,NPK,N,6
1734390369,NPK,P,8
1734390369,NPK,K,20
