timestamp,device,metric,value
1733955666,Shelly PM 0,power,1518.32
1733955666,Shelly PM 0,total,2460562.1
1733955666,Shelly PM 0,total_returned,40951.9
1733955667,solar,power,0
1733955667,humedad suelo,temperature,17.97
1733955667,humedad suelo,humidity,32.56
1733955667,humedad suelo,ec,230
1733955667,pH,pH,3.0
1733955667,NPK,N,7
1733955667,NPK,P,9
1733955667,NPK,K,23
1733955668,suelo,humidity,42.6
1733955668,suelo,temperature,24.8
1733955668,suelo,ec,153
1733955668,suelo,pH,3.0
1733955668,suelo,N,0
1733955668,suelo,P,31
1733955668,suelo,K,23
1733955668,suelo,salinity,84
1733955668,suelo,tds,76
1733955668,temp_interior,humidity,68.3
1733955668,temp_interior,temperature,6.4
1733955668,temp_exterior,humidity,51.9
1733955668,temp_exterior,temperature,4.2
1733955668,co2,co2,549
1733955668,Shelly PM 0,power,1445.42
1733955668,Shelly PM 0,total,2460562.1
1733955668,Shelly PM 0,total_returned,40951.9
1733955668,solar,power,0
1733955668,humedad suelo,temperature,17.97
1733955668,humedad suelo,humidity,32.56
1733955668,humedad suelo,ec,230
1733955668,pH,pH,3.0
1733955668,NPK,N,7
1733955668,NPK,P,9
1733955668,NPK,K,23
1733955668,suelo,humidity,42.6
1733955668,suelo,temperature,24.8
1733955668,suelo,ec,153
1733955668,suelo,pH,3.0
1733955668,suelo,N,0
1733955668,suelo,P,31
1733955668,suelo,K,23
1733955668,suelo,salinity,84
1733955668,suelo,tds,76
1733955668,temp_interior,humidity,68.3
1733955668,temp_interior,temperature,6.4
1733955668,temp_exterior,humidity,51.9
1733955668,temp_exterior,temperature,4.2
1733955668,co2,co2,549
1733955673,Shelly PM 0,power,1509.72
1733955673,Shelly PM 0,total,2460562.1
1733955673,Shelly PM 0,total_returned,40951.9
1733955673,solar,power,0
1733955674,humedad suelo,temperature,17.97
1733955674,humedad suelo,humidity,32.56
1733955674,humedad suelo,ec,233
1733955674,pH,pH,9.0
1733955674,NPK,N,7
1733955674,NPK,P,9
1733955674,NPK,K,23
1733955674,suelo,humidity,42.6
1733955674,suelo,temperature,24.8
1733955674,suelo,ec,152
1733955674,suelo,pH,3.0
1733955674,suelo,N,0
1733955674,suelo,P,30
1733955674,suelo,K,22
