timestamp,device,metric,value
1734303656,Shelly PM 0,power,3079.54
1734303656,Shelly PM 0,total,2641661.2
1734303656,Shelly PM 0,total_returned,42102.4
1734303657,solar,power,0
1734303657,humedad suelo,temperature,17.06
1734303657,humedad suelo,humidity,32.32
1734303657,humedad suelo,ec,228
1734303657,pH,pH,8.4
1734303657,NPK,N,6
1734303657,NPK,P,8
1734303657,NPK,K,21
1734303657,suelo,humidity,44.5
1734303657,suelo,temperature,22.2
1734303657,suelo,ec,158
1734303657,suelo,pH,3.0
1734303657,suelo,N,0
1734303657,suelo,P,33
1734303657,suelo,K,25
1734303657,suelo,salinity,86
1734303657,suelo,tds,79
1734303657,temp_interior,humidity,72.1
1734303657,temp_interior,temperature,5.4
1734303657,temp_exterior,humidity,51.7
1734303657,temp_exterior,temperature,2.8
1734303657,co2,co2,563
1734303657,presion caldera,presion,0.0
1734303717,Shelly PM 0,power,3044.28
1734303717,Shelly PM 0,total,2641704.4
1734303717,Shelly PM 0,total_returned,42102.4
1734303717,solar,power,0
1734303717,humedad suelo,temperature,17.09
1734303717,humedad suelo,humidity,32.27
1734303717,humedad suelo,ec,233
1734303718,pH,pH,3.9
1734303718,NPK,N,6
1734303718,NPK,P,8
1734303718,NPK,K,21
1734303718,suelo,humidity,44.3
1734303718,suelo,temperature,22.2
1734303718,suelo,ec,159
1734303718,suelo,pH,3.0
1734303718,suelo,N,0
1734303718,suelo,P,33
1734303718,suelo,K,26
1734303718,suelo,salinity,87
1734303718,suelo,tds,79
1734303718,temp_interior,humidity,72.5
1734303718,temp_interior,temperature,5.5
1734303718,temp_exterior,humidity,51.7
1734303718,temp_exterior,temperature,2.9
1734303718,co2,co2,568
1734303718,presion caldera,presion,0.0
1734303778,Shelly PM 0,power,3050.95
1734303778,Shelly PM 0,total,2641755.8
1734303778,Shelly PM 0,total_returned,42102.4
1734303778,solar,power,0
1734303778,humedad suelo,temperature,17.09
1734303778,humedad suelo,humidity,32.27
1734303778,humedad suelo,ec,234
1734303778,pH,pH,4.2
1734303778,NPK,N,6
1734303778,NPK,P,8
1734303778,NPK,K,21
1734303778,suelo,humidity,44.0
1734303778,suelo,temperature,22.3
1734303778,suelo,ec,159
1734303778,suelo,pH,3.0
1734303778,suelo,N,0
1734303778,suelo,P,33
1734303778,suelo,K,26
1734303778,suelo,salinity,87
