timestamp,device,metric,value
1734476412,Shelly PM 0,power,726.86
1734476412,Shelly PM 0,total,2701924.6
1734476412,Shelly PM 0,total_returned,44004.3
1734476412,solar,power,0
1734476412,humedad suelo,temperature,17.29
1734476412,humedad suelo,humidity,33.48
1734476412,humedad suelo,ec,247
1734476412,pH,pH,9.0
1734476412,NPK,N,6
1734476412,NPK,P,8
1734476412,NPK,K,21
1734476412,suelo,humidity,44.9
1734476412,suelo,temperature,22.9
1734476412,suelo,ec,163
1734476412,suelo,pH,3.0
1734476412,suelo,N,0
1734476412,suelo,P,35
1734476412,suelo,K,28
1734476412,suelo,salinity,89
1734476412,suelo,tds,81
1734476412,temp_interior,humidity,71.1
1734476412,temp_interior,temperature,7.6
1734476412,temp_exterior,humidity,52.3
1734476412,temp_exterior,temperature,5.0
1734476412,co2,co2,647
1734476475,Shelly PM 0,power,2906.33
1734476475,Shelly PM 0,total,2701963.8
1734476475,Shelly PM 0,total_returned,44004.3
1734476475,solar,power,0
1734476475,humedad suelo,temperature,17.31
1734476475,humedad suelo,humidity,33.48
1734476475,humedad suelo,ec,247
1734476475,pH,pH,9.0
1734476475,NPK,N,6
1734476475,NPK,P,8
1734476475,NPK,K,21
1734476475,suelo,humidity,44.5
1734476475,suelo,temperature,22.9
1734476475,suelo,ec,165
1734476475,suelo,pH,3.0
1734476475,suelo,N,0
1734476475,suelo,P,36
1734476475,suelo,K,29
1734476475,suelo,salinity,90
1734476475,suelo,tds,82
1734476475,temp_interior,humidity,71.3
1734476475,temp_interior,temperature,7.6
1734476476,temp_exterior,humidity,52.4
1734476476,temp_exterior,temperature,5.1
1734476476,co2,co2,644
1734476539,Shelly PM 0,power,2830.16
1734476539,Shelly PM 0,total,2702011.6
1734476539,Shelly PM 0,total_returned,44004.3
1734476539,solar,power,0
1734476539,humedad suelo,temperature,17.31
1734476539,humedad suelo,humidity,33.41
1734476539,humedad suelo,ec,245
1734476539,pH,pH,3.4
1734476539,NPK,N,6
1734476539,NPK,P,8
1734476539,NPK,K,21
1734476539,suelo,humidity,44.4
1734476539,suelo,temperature,23.0
1734476539,suelo,ec,162
1734476539,suelo,pH,3.0
1734476539,suelo,N,0
1734476539,suelo,P,35
1734476539,suelo,K,27
1734476539,suelo,salinity,89
1734476539,suelo,tds,81
1734476539,temp_interior,humidity,71.0
1734476539,temp_interior,temperature,7.6
1734476539,temp_exterior,humidity,52.4
1734476539,temp_exterior,temperature,5.0
1734476539,co2,co2,647
1734476602,Shelly PM 0,power,2781.31
1734476602,Shelly PM 0,total,2702059.0
1734476602,Shelly PM 0,total_returned,44004.3
1734476602,solar,power,0
1734476602,humedad suelo,temperature,17.34
1734476602,humedad suelo,humidity,33.48
1734476602,humedad suelo,ec,239
1734476603,pH,pH,9.0
1734476603,NPK,N,6
1734476603,NPK,P,8
1734476603,NPK,K,21
1734476603,suelo,humidity,44.6
1734476603,suelo,temperature,23.0
1734476603,suelo,ec,162
1734476603,suelo,pH,3.0
1734476603,suelo,N,0
1734476603,suelo,P,35
1734476603,suelo,K,27
1734476603,suelo,salinity,89
1734476603,suelo,tds,81
1734476603,temp_interior,humidity,71.9
1734476603,temp_interior,temperature,7.7
1734476603,temp_exterior,humidity,52.3
1734476603,temp_exterior,temperature,5.0
1734476603,co2,co2,647
1734476666,Shelly PM 0,power,2831.87
1734476666,Shelly PM 0,total,2702106.0
1734476666,Shelly PM 0,total_returned,44004.3
1734476666,solar,power,0
1734476666,humedad suelo,temperature,17.34
1734476666,humedad suelo,humidity,33.48
1734476666,humedad suelo,ec,247
1734476666,pH,pH,9.0
1734476666,NPK,N,6
1734476666,NPK,P,8
1734476666,NPK,K,21
1734476666,suelo,humidity,44.5
1734476666,suelo,temperature,23.0
1734476666,suelo,ec,163
1734476666,suelo,pH,3.0
1734476666,suelo,N,0
1734476666,suelo,P,35
1734476666,suelo,K,28
1734476666,suelo,salinity,89
1734476666,suelo,tds,81
1734476666,temp_interior,humidity,71.2
1734476666,temp_interior,temperature,7.7
1734476666,temp_exterior,humidity,52.4
1734476666,temp_exterior,temperature,5.0
1734476666,co2,co2,648
1734476729,Shelly PM 0,power,2826.53
1734476729,Shelly PM 0,total,2702153.2
1734476729,Shelly PM 0,total_returned,44004.3
1734476729,solar,power,0
1734476729,humedad suelo,temperature,17.34
1734476729,humedad suelo,humidity,33.48
1734476729,humedad suelo,ec,245
1734476729,pH,pH,9.0
1734476729,NPK,N,6
1734476729,NPK,P,8
1734476729,NPK,K,21
1734476729,suelo,humidity,44.5
1734476729,suelo,temperature,23.0
1734476729,suelo,ec,164
1734476729,suelo,pH,3.0
1734476729,suelo,N,0
1734476729,suelo,P,36
1734476729,suelo,K,28
1734476729,suelo,salinity,90
1734476729,suelo,tds,82
1734476729,temp_interior,humidity,71.3
1734476729,temp_interior,temperature,7.6
1734476729,temp_exterior,humidity,52.3
1734476729,temp_exterior,temperature,5.0
1734476729,co2,co2,643
1734476792,Shelly PM 0,power,2818.92
1734476792,Shelly PM 0,total,2702200.4
1734476792,Shelly PM 0,total_returned,44004.3
1734476792,solar,power,0
1734476792,humedad suelo,temperature,17.34
1734476792,humedad suelo,humidity,33.41
1734476792,humedad suelo,ec,249
1734476792,pH,pH,9.0
1734476792,NPK,N,6
1734476792,NPK,P,8
1734476792,NPK,K,21
1734476792,suelo,humidity,44.5
1734476792,suelo,temperature,23.0
1734476792,suelo,ec,166
1734476792,suelo,pH,3.0
1734476792,suelo,N,0
1734476792,suelo,P,37
1734476792,suelo,K,29
1734476792,suelo,salinity,91
1734476792,suelo,tds,83
1734476792,temp_interior,humidity,71.5
1734476792,temp_interior,temperature,7.6
1734476792,temp_exterior,humidity,52.3
1734476792,temp_exterior,temperature,4.9
1734476792,co2,co2,646
1734476856,Shelly PM 0,power,2813.67
1734476856,Shelly PM 0,total,2702247.6
1734476856,Shelly PM 0,total_returned,44004.3
1734476856,solar,power,0
1734476856,humedad suelo,temperature,17.37
1734476856,humedad suelo,humidity,33.41
1734476856,humedad suelo,ec,242
1734476856,pH,pH,9.0
1734476856,NPK,N,6
1734476856,NPK,P,8
1734476856,NPK,K,21
1734476856,suelo,humidity,44.6
1734476856,suelo,temperature,23.0
1734476856,suelo,ec,164
1734476856,suelo,pH,3.0
1734476856,suelo,N,0
1734476856,suelo,P,36
1734476856,suelo,K,28
1734476856,suelo,salinity,90
1734476856,suelo,tds,82
1734476856,temp_interior,humidity,70.8
1734476856,temp_interior,temperature,7.6
