timestamp,device,metric,value
1734104490,Shelly PM 0,power,4197.86
1734104490,Shelly PM 0,total,2525066.8
1734104490,Shelly PM 0,total_returned,42041.7
1734104490,solar,power,-20
1734104490,humedad suelo,temperature,18.14
1734104490,humedad suelo,humidity,32.89
1734104490,humedad suelo,ec,237
1734104491,pH,pH,3.7
1734104491,NPK,N,6
1734104491,NPK,P,9
1734104491,NPK,K,22
1734104491,suelo,humidity,44.5
1734104491,suelo,temperature,19.4
1734104491,suelo,ec,149
1734104491,suelo,pH,3.0
1734104491,suelo,N,0
1734104491,suelo,P,29
1734104491,suelo,K,21
1734104491,suelo,salinity,81
1734104491,suelo,tds,74
1734104491,temp_interior,humidity,68.7
1734104491,temp_interior,temperature,10.9
1734104491,temp_exterior,humidity,52.9
1734104491,temp_exterior,temperature,8.3
1734104491,co2,co2,569
1734110474,Shelly PM 0,power,3220.65
1734110474,Shelly PM 0,total,2528391.6
1734110474,Shelly PM 0,total_returned,42041.7
1734110474,solar,power,0
1734110474,humedad suelo,temperature,18.77
1734110474,humedad suelo,humidity,32.79
1734110474,humedad suelo,ec,232
1734110474,pH,pH,9.0
1734110475,NPK,N,6
1734110475,NPK,P,9
1734110475,NPK,K,22
1734110475,suelo,humidity,44.3
1734110475,suelo,temperature,23.8
1734110475,suelo,ec,156
1734110475,suelo,pH,3.0
1734110475,suelo,N,0
1734110475,suelo,P,32
1734110475,suelo,K,24
1734110475,suelo,salinity,85
1734110475,suelo,tds,78
1734110475,temp_interior,humidity,73.7
1734110475,temp_interior,temperature,9.1
1734110475,temp_exterior,humidity,52.7
1734110475,temp_exterior,temperature,7.4
1734110475,co2,co2,614
1734110719,Shelly PM 0,power,3185.03
1734110719,Shelly PM 0,total,2528597.4
1734110719,Shelly PM 0,total_returned,42041.7
1734110720,solar,power,0
1734110720,humedad suelo,temperature,18.77
1734110720,humedad suelo,humidity,32.84
1734110720,humedad suelo,ec,233
1734110720,pH,pH,5.3
1734110720,NPK,N,6
1734110720,NPK,P,9
1734110720,NPK,K,22
1734110720,suelo,humidity,44.2
1734110720,suelo,temperature,24.0
1734110720,suelo,ec,157
1734110720,suelo,pH,3.0
1734110720,suelo,N,0
1734110720,suelo,P,32
1734110720,suelo,K,25
1734110720,suelo,salinity,86
1734110720,suelo,tds,78
1734110720,temp_interior,humidity,74.2
1734110720,temp_interior,temperature,9.0
1734110721,temp_exterior,humidity,52.7
1734110721,temp_exterior,temperature,7.4
1734110721,co2,co2,615
1734110758,Shelly PM 0,power,3027.4
1734110758,Shelly PM 0,total,2528597.4
1734110758,Shelly PM 0,total_returned,42041.7
1734110758,solar,power,0
1734110758,humedad suelo,temperature,18.82
1734110758,humedad suelo,humidity,32.79
1734110758,humedad suelo,ec,232
1734110758,pH,pH,9.0
1734110758,NPK,N,6
1734110758,NPK,P,9
1734110758,NPK,K,22
1734110758,suelo,humidity,44.3
1734110758,suelo,temperature,24.0
1734110758,suelo,ec,157
1734110758,suelo,pH,3.0
1734110758,suelo,N,0
1734110758,suelo,P,32
1734110758,suelo,K,25
1734110758,suelo,salinity,86
1734110758,suelo,tds,78
1734110758,temp_interior,humidity,74.1
1734110758,temp_interior,temperature,9.2
1734110758,temp_exterior,humidity,52.7
1734110758,temp_exterior,temperature,7.4
1734110758,co2,co2,615
1734110765,Shelly PM 0,power,3015.43
1734110765,Shelly PM 0,total,2528649.4
1734110765,Shelly PM 0,total_returned,42041.7
1734110767,solar,power,0
1734110768,humedad suelo,temperature,18.82
1734110768,humedad suelo,humidity,32.84
1734110768,humedad suelo,ec,234
1734110768,pH,pH,9.0
1734110768,NPK,N,6
1734110768,NPK,P,9
1734110768,NPK,K,22
1734110768,suelo,humidity,44.0
1734110768,suelo,temperature,24.0
1734110768,suelo,ec,157
1734110768,suelo,pH,3.0
1734110768,suelo,N,0
1734110768,suelo,P,32
1734110768,suelo,K,25
1734110768,suelo,salinity,86
1734110768,suelo,tds,78
1734110768,temp_interior,humidity,73.9
1734110768,temp_interior,temperature,9.0
1734110768,temp_exterior,humidity,52.7
1734110768,temp_exterior,temperature,7.4
1734110768,co2,co2,615
1734110935,Shelly PM 0,power,3122.16
1734110935,Shelly PM 0,total,2528750.2
1734110935,Shelly PM 0,total_returned,42041.7
1734110935,solar,power,0
1734110935,humedad suelo,temperature,18.82
1734110935,humedad suelo,humidity,32.79
1734110935,humedad suelo,ec,235
1734110935,pH,pH,7.3
1734110935,NPK,N,6
1734110935,NPK,P,9
1734110935,NPK,K,22
1734110935,suelo,humidity,44.2
1734110935,suelo,temperature,24.1
1734110935,suelo,ec,158
1734110935,suelo,pH,3.0
1734110935,suelo,N,0
1734110935,suelo,P,33
1734110935,suelo,K,25
1734110935,suelo,salinity,86
1734110935,suelo,tds,79
1734110935,temp_interior,humidity,74.9
1734110935,temp_interior,temperature,8.9
1734110935,temp_exterior,humidity,52.7
1734110935,temp_exterior,temperature,7.4
1734110936,co2,co2,615
1734110952,Shelly PM 0,power,3112.61
1734110952,Shelly PM 0,total,2528802.6
1734110952,Shelly PM 0,total_returned,42041.7
1734110952,solar,power,0
1734110952,humedad suelo,temperature,18.82
1734110952,humedad suelo,humidity,32.79
1734110952,humedad suelo,ec,235
1734110952,pH,pH,6.9
1734110952,NPK,N,6
1734110952,NPK,P,9
1734110952,NPK,K,22
1734110952,suelo,humidity,44.2
1734110952,suelo,temperature,24.0
1734110952,suelo,ec,157
1734110952,suelo,pH,3.0
1734110952,suelo,N,0
1734110952,suelo,P,32
1734110952,suelo,K,25
1734110952,suelo,salinity,86
1734110952,suelo,tds,78
1734110952,temp_interior,humidity,74.8
1734110952,temp_interior,temperature,8.9
1734110952,temp_exterior,humidity,52.7
1734110952,temp_exterior,temperature,7.4
1734110952,co2,co2,616
1734110985,Shelly PM 0,power,3171.23
1734110985,Shelly PM 0,total,2528802.6
1734110985,Shelly PM 0,total_returned,42041.7
1734110985,solar,power,0
1734110985,humedad suelo,temperature,18.82
1734110985,humedad suelo,humidity,32.84
1734110985,humedad suelo,ec,237
1734110985,pH,pH,6.2
1734110985,NPK,N,6
1734110985,NPK,P,9
1734110985,NPK,K,22
1734110986,suelo,humidity,44.3
1734110986,suelo,temperature,24.1
1734110986,suelo,ec,156
1734110986,suelo,pH,3.0
1734110986,suelo,N,0
1734110986,suelo,P,32
1734110986,suelo,K,24
1734110986,suelo,salinity,85
1734110986,suelo,tds,78
1734110986,temp_interior,humidity,74.8
1734110986,temp_interior,temperature,8.9
1734110986,temp_exterior,humidity,52.7
1734110986,temp_exterior,temperature,7.4
1734110986,co2,co2,615
1734111008,Shelly PM 0,power,2978.59
1734111008,Shelly PM 0,total,2528854.6
1734111008,Shelly PM 0,total_returned,42041.7
1734111008,solar,power,0
1734111008,humedad suelo,temperature,18.85
1734111008,humedad suelo,humidity,32.84
1734111008,humedad suelo,ec,239
1734111008,pH,pH,4.9
1734111008,NPK,N,7
1734111008,NPK,P,9
1734111008,NPK,K,23
1734111008,suelo,humidity,44.0
1734111008,suelo,temperature,24.1
1734111008,suelo,ec,157
1734111008,suelo,pH,3.0
1734111008,suelo,N,0
1734111008,suelo,P,32
1734111008,suelo,K,25
1734111008,suelo,salinity,86
1734111008,suelo,tds,78
1734111008,temp_interior,humidity,75.0
1734111008,temp_interior,temperature,8.9
1734111008,temp_exterior,humidity,52.7
1734111008,temp_exterior,temperature,7.4
1734111008,co2,co2,611
1734127089,Shelly PM 0,power,2578.38
1734127089,Shelly PM 0,total,2537537.8
1734127089,Shelly PM 0,total_returned,42041.7
1734127089,solar,power,0
1734127089,humedad suelo,temperature,16.25
1734127089,humedad suelo,humidity,32.39
1734127089,humedad suelo,ec,227
1734127089,pH,pH,6.7
1734127089,NPK,N,6
1734127089,NPK,P,8
1734127089,NPK,K,21
1734127089,suelo,humidity,43.7
1734127089,suelo,temperature,14.2
1734127089,suelo,ec,130
1734127089,suelo,pH,3.0
1734127089,suelo,N,0
1734127089,suelo,P,19
1734127089,suelo,K,11
1734127089,suelo,salinity,71
1734127089,suelo,tds,65
1734127089,temp_interior,humidity,78.9
1734127089,temp_interior,temperature,5.9
1734127089,temp_exterior,humidity,52.0
1734127089,temp_exterior,temperature,4.1
1734127089,co2,co2,663
1734127207,Shelly PM 0,power,2547.54
1734127207,Shelly PM 0,total,2537624.0
1734127207,Shelly PM 0,total_returned,42041.7
1734127207,solar,power,0
1734127207,humedad suelo,temperature,16.22
1734127207,humedad suelo,humidity,32.39
1734127207,humedad suelo,ec,234
1734127207,pH,pH,6.3
1734127207,NPK,N,6
1734127207,NPK,P,8
1734127207,NPK,K,21
1734127208,suelo,humidity,43.4
1734127208,suelo,temperature,14.1
1734127208,suelo,ec,132
1734127208,suelo,pH,3.0
1734127208,suelo,N,0
1734127208,suelo,P,20
1734127208,suelo,K,12
1734127208,suelo,salinity,72
1734127208,suelo,tds,66
1734127208,temp_interior,humidity,79.0
1734127208,temp_interior,temperature,5.9
1734127208,temp_exterior,humidity,51.9
1734127208,temp_exterior,temperature,3.9
1734127208,co2,co2,663
1734127208,presion caldera,presion,1.51
1734127370,Shelly PM 0,power,2707.64
1734127370,Shelly PM 0,total,2537711.8
1734127370,Shelly PM 0,total_returned,42041.7
